,A,B,C,D,E,F,H,K,L
ConcatenatedReads_10AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_10PA,0.1145513504743576,0.0,0.0,0.0,0.0,0.0,0.03146342188119888,0.8223820328712463,0.0
ConcatenatedReads_10PB,0.6604442596435547,0.0,0.0,0.0,0.0,0.0,0.0,0.29753121733665466,0.0
ConcatenatedReads_11AA,0.0,0.0,0.7705839276313782,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_11PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_12AA,0.11604631692171097,0.0,0.0,0.18676629662513733,0.0,0.0,0.2821712791919708,0.19967225193977356,0.0
ConcatenatedReads_12PA,0.1545371264219284,0.0,0.0,0.04450104758143425,0.0,0.0,0.5959500074386597,0.11799878627061844,0.0
ConcatenatedReads_13AA,0.3001115620136261,0.0,0.0,0.0,0.390819251537323,0.0,0.0,0.0,0.0
ConcatenatedReads_13PA,0.6510003805160522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3319804072380066
ConcatenatedReads_13PB,0.09632938355207443,0.0,0.0,0.5231395363807678,0.0,0.26838135719299316,0.045108240097761154,0.0,0.0
ConcatenatedReads_14AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_14PA,0.10293315351009369,0.0,0.09712613373994827,0.3704385757446289,0.0,0.030005699023604393,0.16067540645599365,0.11077246814966202,0.0037334763910621405
ConcatenatedReads_15AA,0.5888391733169556,0.0,0.4169835150241852,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_15AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_15PA,0.6560041904449463,0.0,0.014070373959839344,0.305257648229599,0.0,0.0,0.0,0.0029319569002836943,0.0
ConcatenatedReads_16PB,0.1313333809375763,0.0,0.2998226284980774,0.4089093804359436,0.0,0.0,0.0533248670399189,0.027879491448402405,0.0
ConcatenatedReads_17AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_17AB,0.7734179496765137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_17PA,0.25262531638145447,0.0,0.5553033947944641,0.016478823497891426,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_19AA,0.8917272090911865,0.007776875048875809,0.08109010010957718,0.0,0.0,0.017177071422338486,0.0,0.0,0.0
ConcatenatedReads_19PA,0.13852597773075104,0.0,0.619236409664154,0.0,0.0,0.0,0.0,0.14529551565647125,0.0
ConcatenatedReads_1AA,0.33964085578918457,0.0,0.5453121662139893,0.07330775260925293,0.0,0.009692936204373837,0.0,0.01390169933438301,0.0
ConcatenatedReads_1PA,0.015892095863819122,0.0,0.022189851850271225,0.8799304962158203,0.0,0.03299028426408768,0.015471263788640499,0.009371313266456127,0.0
ConcatenatedReads_1PB,0.3634680509567261,0.0,0.05176558345556259,0.08623149245977402,0.0,0.007689884398132563,0.3252527713775635,0.08041675388813019,0.0
ConcatenatedReads_21AA,0.5014566779136658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_21PA,0.8317720293998718,0.0,0.0,0.06973139196634293,0.0,0.08520188927650452,0.0,0.0,0.0
ConcatenatedReads_22AA,0.0,0.0,0.0,0.0,0.04856529086828232,0.0,0.0,0.9169113636016846,0.0
ConcatenatedReads_22PA,0.3074467182159424,0.0,0.0,0.1350315809249878,0.0,0.0,0.0919395163655281,0.3719818592071533,0.0
ConcatenatedReads_23AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_23PA,0.01963798701763153,0.0,0.0,0.361521452665329,0.0,0.10031377524137497,0.3605770468711853,0.0,0.014372745528817177
ConcatenatedReads_24AA,0.4563230872154236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_25AA,0.5489389300346375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_25PA,0.1952858418226242,0.0,0.01989862322807312,0.20130358636379242,0.0,0.0,0.0166342593729496,0.0,0.0
ConcatenatedReads_2AA,0.7376550436019897,0.0,0.0,0.21350400149822235,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_2AB,0.7008705735206604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
