,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,77,8,83,86,9,92,93
ConcatenatedReads_10AA,[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.0509544 0.943706 ],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.]
ConcatenatedReads_10PA,[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.142238 0.696862],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.479536 0.98436 ],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.]
ConcatenatedReads_10PB,[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.215235 0.646444],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.0633502 0.940467 ],[-1. -1.],[-1. -1.],[-1. -1.],[0.707821 0.949395],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.831714 0.977435],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.]
ConcatenatedReads_11AA,[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.946695 0.989563],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.848583 0.97204 ],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.56858  0.867356],[-1. -1.],[-1. -1.],[-1. -1.],[0.824864 0.980691],[-1. -1.],[0.940707 0.981309],[-1. -1.],[-1. -1.],[-1. -1.],[0.321065 0.871192],[0.840511 0.960981],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.842867 0.959957],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.784077 0.968426],[-1. -1.],[-1. -1.],[0.939899 0.980641],[-1. -1.],[-1. -1.],[0.466011 0.777259],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.925543 0.986835],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.80958  0.977863],[-1. -1.],[-1. -1.],[-1. -1.],[0.947805 0.993406],[-1. -1.]
ConcatenatedReads_11PA,[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.598675 0.958369],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.555853 0.734239],[0.52274  0.958591],[-1. -1.],[-1. -1.],[-1. -1.],[0.782522 0.981982],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.150877 0.875602],[-1. -1.],[0.52379  0.853346],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.759067 0.978032],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.832799 0.968132],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.750181 0.988013],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.]
ConcatenatedReads_12AA,[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.0962886 0.609316 ],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.0423328 0.666801 ],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.]
ConcatenatedReads_12PA,[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.727013 0.989343],[-1. -1.],[-1. -1.],[-1. -1.],[0.345582 0.889368],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.76081  0.985109],[-1. -1.],[-1. -1.],[-1. -1.],[0.022253 0.413396],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.65131  0.891281],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.731134 0.961392],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.]
ConcatenatedReads_13AA,[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.510218 0.955495],[-1. -1.],[-1. -1.],[-1. -1.],[0.332894 0.935609],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.579879 0.964651],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.358475 0.95423 ],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.721932 0.947327],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.]
ConcatenatedReads_13PA,[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.]
ConcatenatedReads_13PB,[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.44105  0.577025],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[0.943922 0.977924],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.],[-1. -1.]
