,C.1.1,C.1.2.1,C.1.2.2,C.2.1.1,C.2.1.2,C.2.2.1.1,C.2.2.1.2.1.1,C.2.2.1.2.1.2,C.2.2.1.2.1.3,C.2.2.1.2.2.2,C.2.2.1.3.1,C.2.2.1.3.2.1,C.2.2.1.3.2.2.1.1.1,C.2.2.1.3.2.2.2,C.2.2.1.3.2.3,C.2.2.1.3.2.4.1
ConcatenatedReads_10AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_10PA,0.0,0.0,0.0,0.2850543260574341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_10PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_11AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09312976896762848
ConcatenatedReads_11PA,0.0,0.0,0.0,0.0,0.0,0.0,0.9418542981147766,0.0,0.03839295357465744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_12AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_12PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_13AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_13PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_13PB,0.0,0.0,0.0,0.4381166994571686,0.0,0.0,0.0,0.0,0.23792730271816254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_14AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_14PA,0.04661870002746582,0.0,0.0,0.0,0.0,0.02646806836128235,0.10873188078403473,0.0,0.3992561995983124,0.0,0.0,0.0,0.014476143755018711,0.0,0.0,0.0
ConcatenatedReads_15AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_15AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9588102102279663,0.0
ConcatenatedReads_15PA,0.0,0.0,0.0,0.07900454849004745,0.00858469307422638,0.0,0.2938978672027588,0.0,0.4652489423751831,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_16PB,0.15427519381046295,0.0,0.0,0.0,0.0,0.0,0.3572143316268921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_17AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_17AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_17PA,0.0,0.0,0.0,0.0,0.0,0.0,0.9323864579200745,0.0,0.066042460501194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_19AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6025351285934448,0.0
ConcatenatedReads_19PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_1AA,0.0,0.0,0.0,0.0,0.16587544977664948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_1PA,0.0,0.0,0.0,0.0,0.0,0.0,0.5967477560043335,0.0,0.25887393951416016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_1PB,0.0,0.0,0.0,0.0,0.1709936559200287,0.1149216890335083,0.0,0.0,0.0,0.0,0.19069840013980865,0.0,0.0,0.0,0.0,0.14644131064414978
ConcatenatedReads_21AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_21PA,0.0,0.0,0.0,0.0,0.0,0.0,0.6590564250946045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_22AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_22PA,0.0,0.0,0.0,0.0,0.0,0.0,0.6910966038703918,0.0,0.28875720500946045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_23AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_23PA,0.0,0.47955766320228577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_24AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_25AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_25PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_2AA,0.0,0.0,0.0,0.0,0.0,0.0,0.38692763447761536,0.0,0.3365330994129181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_2AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_2PA,0.0,0.0,0.0,0.0,0.0,0.0,0.1825365275144577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_2PB,0.0,0.0,0.0,0.14728504419326782,0.0,0.0,0.17019473016262054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_3AA,0.0,0.0,0.8092973232269287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_3AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_3PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_4AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_4AB,0.0,0.0,0.7948628664016724,0.0,0.0,0.0,0.18372687697410583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_4AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
