,A,B,C,D,E,F,H,K,L
KIT_24F_MG1_H1,0.0,0.920165123724528,0.0,0.0,0.0,0.1271444284382289,0.0,0.0014170871875867,0.0009912474546114
KIT_1F_MG1_H2,0.1593675315030143,0.0682523267838676,0.0,0.7254066458084548,0.0,0.0,0.028736228025812,0.0212967453340508,0.0
KIT_93F_MG1_H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0499134104600173
KIT_12F_MG1_H4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIT_46F_MG1_H5,0.0,0.0,0.0577578652304531,0.1382159763213134,0.0,0.0,0.1516994145931251,0.3365973542834647,0.0013933106013043
KIT_61F_MG1_H6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1525974025974026,0.0440456769983686
KIT_8F_MG1_H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIT_90F_MG1_H8,0.0,0.0,0.0,0.2151465671520474,0.0,0.0,0.2288074587563226,0.0,0.0391516516671671
KIT_83F_MG1_H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIT_9F_MG1_H10,0.0,0.0,0.0,0.2318503299371985,0.1978976638389332,0.0,0.382779708672886,0.1888729246366954,0.0
KIT_244F_MG1_H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181242474121926,0.0035807232898325
KIT_63F_MG1_H12,0.5291479820627804,0.0,0.4824785878876469,0.0,0.0,0.0,0.0,0.0,0.0
KIT_24N_MG1_G1,0.0,0.2659400434489999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIT_1N_MG1_G2,0.3074270054584505,0.0,0.0233791921836312,0.383563345862065,0.0,0.0,0.1143699117446756,0.1170840304836734,0.0004417916290608
KIT_93N_MG1_G3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIT_12N_MG1_G4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0818158755199503,0.0034801324088499
KIT_46N_MG1_G5,0.1293684535688504,0.0,0.0,0.4969558819862406,0.0,0.0,0.0571991977062583,0.2661712344811728,0.0004351403659944
KIT_61N_MG1_G6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0090693578226813
KIT_8N_MG1_G7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067704886116291,0.0
KIT_90N_MG1_G8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158422518567598,0.0228682554742868
KIT_83N_MG1_G9,0.8255033557046979,0.0,0.0,0.0,0.0,0.0,0.0742639464305904,0.1043074067787524,0.0
KIT_9N_MG1_G10,0.1279999999999999,0.0,0.0255849159534196,0.264800475926859,0.3578755366776774,0.0,0.1790454856024047,0.0283592690293082,0.0
KIT_244N_MG1_G11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIT_63N_MG1_G12,0.2562397336585232,0.0,0.7156271360111622,0.0340302876097226,0.0,0.0,0.0,0.0,0.0
KIT_1K_MG1_F2,0.3930978683173631,0.156794425087108,0.0,0.4014070435503112,0.0,0.0,0.0409061637784977,0.0120363535277224,0.0002874261090418
KIT_93K_MG1_F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0497220926914917,0.0236678216735433,0.0287152134063786
KIT_12K_MG1_F4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093091463896949
KIT_46K_MG1_F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIT_61K_MG1_F6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1011673151750972,0.0333333333333333
KIT_8K_MG1_F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203149727697742,0.0
KIT_90K_MG1_F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1303322516518074
