,C.1.1,C.1.2.1,C.1.2.2,C.2.1.1,C.2.1.2,C.2.2.1.1,C.2.2.1.2.1.1,C.2.2.1.2.1.2,C.2.2.1.2.1.3,C.2.2.1.2.2.2,C.2.2.1.3.1,C.2.2.1.3.2.1,C.2.2.1.3.2.2.1.1.1,C.2.2.1.3.2.2.2,C.2.2.1.3.2.3,C.2.2.1.3.2.4.1
KIT_24F_MG1_H1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20408162474632263,0.0
KIT_1F_MG1_H2,0.0,0.0,0.0,0.0,0.46190476417541504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIT_93F_MG1_H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIT_12F_MG1_H4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIT_46F_MG1_H5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIT_61F_MG1_H6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIT_8F_MG1_H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIT_90F_MG1_H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIT_83F_MG1_H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIT_9F_MG1_H10,0.0,0.0,0.0,0.13322924077510834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIT_244F_MG1_H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
