PATH_ls,SAMPLE_ls,REF_Genome_ls,OUTGROUP_ls,cladeID
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AA3C_Z01_79_9YE_B779,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AA3C_Z01_81_9YE_B981,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1601,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1602,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1603,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1606,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1607,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1608,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1609,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1610,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1614,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1615,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1616,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1617,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1618,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1619,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1621,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1622,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1623,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,5AB1N_X1624,clade_1,0,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,3AA2K_X0759,clade_1,1,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,3AA2C_X0878,clade_1,1,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,1PB3C_8YDS80,clade_1,1,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,1PB3C_8YDS92,clade_1,1,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,7PA1C_28JC71,clade_1,1,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,7AA4C_23YAC39,clade_1,1,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,8AB4C_25YA77,clade_1,1,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,8AB4C_25YA78,clade_1,1,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,8PB1C_25YC53,clade_1,1,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,8PB1C_25YC20,clade_1,1,1
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,3AA2N_X0715,clade_2,0,2
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,3AA2N_X0716,clade_2,0,2
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,3AA2N_X0722,clade_2,0,2
/scratch/mit_lieberman/projects/jsb_cuti/all_samples/AllSteps/Mapping,3AA2N_X0723,clade_2,0,2
