Path,SampleName,ReferenceGenome,ProviderNames,is_outgroup
/scratch/mit_lieberman/raw_data/2020/200908Lie/re_demux/D20-3875-4620F/split_plex/ /scratch/mit_lieberman/raw_data/2020/200908Lie/re_demux/D20-3875-4623R/split_plex/ /scratch/mit_lieberman/raw_data/2019/SN0182042_HiSeqX/2/split/,7PB4C_Z01_1,cacnes_clade_1,N901S907,0
/scratch/mit_lieberman/raw_data/2020/200908Lie/re_demux/D20-3875-4620F/split_plex/ /scratch/mit_lieberman/raw_data/2020/200908Lie/re_demux/D20-3875-4623R/split_plex/ /scratch/mit_lieberman/raw_data/2019/SN0182042_HiSeqX/2/split/,7PB4C_Z01_5,cacnes_clade_1,N905S907,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1C_X08_26,cacnes_clade_1,N926S921,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1C_X08_27,cacnes_clade_1,N927S921,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1C_X08_30,cacnes_clade_1,N930S921,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1C_X08_31,cacnes_clade_1,N931S921,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1C_X08_32,cacnes_clade_1,N932S921,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1C_X08_37,cacnes_clade_1,N937S921,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1C_X08_39,cacnes_clade_1,N939S921,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1C_X08_43,cacnes_clade_1,N943S921,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1C_X08_45,cacnes_clade_1,N945S921,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1F_X09_03,cacnes_clade_1,N903S924,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1F_X09_04,cacnes_clade_1,N904S924,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1F_X09_05,cacnes_clade_1,N905S924,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1F_X09_06,cacnes_clade_1,N906S924,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1F_X09_18,cacnes_clade_1,N918S924,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1F_X09_21,cacnes_clade_1,N921S924,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1N_X10_41,cacnes_clade_1,N941S938,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1K_X10_75,cacnes_clade_1,N975S938,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1K_X10_85,cacnes_clade_1,N985S938,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1K_X10_89,cacnes_clade_1,N989S938,0
/scratch/mit_lieberman/raw_data/2019/D18-12108-3557G-F1/split/,7PA1K_X10_93,cacnes_clade_1,N993S938,0
/scratch/mit_lieberman/raw_data/2019/D18-12109-3562G-F2/split/,7AB1F_X12_49,cacnes_clade_1,N949S948,0
/scratch/mit_lieberman/raw_data/2019/D18-12109-3562G-F2/split/,7AB1F_X12_50,cacnes_clade_1,N950S948,0
/scratch/mit_lieberman/raw_data/2019/D18-12109-3562G-F2/split/,7AB1F_X12_53,cacnes_clade_1,N953S948,0
/scratch/mit_lieberman/raw_data/2019/D18-12109-3562G-F2/split/,7AB1F_X13_17,cacnes_clade_1,N917S953,0
/scratch/mit_lieberman/raw_data/2019/D18-12109-3562G-F2/split/,7AB1F_X13_19,cacnes_clade_1,N919S953,0
/scratch/mit_lieberman/raw_data/2019/D18-12109-3562G-F2/split/,7PA1C_X14_01,cacnes_clade_1,N901S954,0
/scratch/mit_lieberman/raw_data/2019/D18-12109-3562G-F2/split/,7PA1C_X14_02,cacnes_clade_1,N902S954,0
/scratch/mit_lieberman/raw_data/2019/D18-12109-3562G-F2/split/,7PA1C_X14_03,cacnes_clade_1,N903S954,0
/scratch/mit_lieberman/raw_data/2019/D18-12109-3562G-F2/split/,7PA1C_X14_06,cacnes_clade_1,N906S954,0
/scratch/mit_lieberman/raw_data/2019/D18-12109-3562G-F2/split/,7PA1C_X14_07,cacnes_clade_1,N907S954,0
/scratch/mit_lieberman/raw_data/2019/D18-12109-3562G-F2/split/,7PA1C_X14_08,cacnes_clade_1,N908S954,0
/scratch/mit_lieberman/raw_data/2019/D18-12109-3562G-F2/split/,7PA1C_X14_09,cacnes_clade_1,N909S954,0
/scratch/mit_lieberman/raw_data/2019/D18_F1234_jsb_dupletts_merged/7AB1N_X1173/,7AB1N_X11_73,cacnes_clade_1,7AB1N_X1173,0
